#PathwayID	Pathway name	Ontology all ancestors
PWY0-1313	acetate conversion to acetyl-CoA	Degradation/Utilization/Assimilation|Carboxylate Degradation
PWY-5177	glutaryl-CoA degradation	Degradation/Utilization/Assimilation|Carboxylate Degradation
PWY-5749	itaconate degradation	Degradation/Utilization/Assimilation|Carboxylate Degradation
PWY-7310	D-glucosaminate degradation	Degradation/Utilization/Assimilation|Carboxylate Degradation
PWY-7873	D-erythronate degradation II	Degradation/Utilization/Assimilation|Carboxylate Degradation
PWY-2361	3-oxoadipate degradation	Degradation/Utilization/Assimilation|Carboxylate Degradation
PWY-8085	picolinate degradation	Degradation/Utilization/Assimilation|Carboxylate Degradation
PWY-5162	2-hydroxypenta-2,4-dienoate degradation	Degradation/Utilization/Assimilation|Carboxylate Degradation
PWY1G01-4	glutarate degradation	Degradation/Utilization/Assimilation|Carboxylate Degradation
PWY-5654	2-amino-3-carboxymuconate semialdehyde degradation to 2-hydroxypentadienoate	Degradation/Utilization/Assimilation|Carboxylate Degradation
PWY-6038	citrate degradation	Degradation/Utilization/Assimilation|Carboxylate Degradation
PWY-5532	nucleoside and nucleotide degradation (archaea)	Degradation/Utilization/Assimilation|Nucleoside and Nucleotide Degradation
CYCLOHEXANOL-OXIDATION-PWY	cyclohexanol degradation	Degradation/Utilization/Assimilation|Alcohol Degradation
PWY-7013	(S)-propane-1,2-diol degradation	Generation of Precursor Metabolites and Energy|Fermentation|Fermentation to Short-Chain Fatty Acids|Fermentation to Propanoate|Degradation/Utilization/Assimilation|Alcohol Degradation
PWY66-389	phytol degradation	Degradation/Utilization/Assimilation|Alcohol Degradation
PWY-6464	polyvinyl alcohol degradation	Degradation/Utilization/Assimilation|Alcohol Degradation
PWY0-1280	ethylene glycol degradation	Degradation/Utilization/Assimilation|Alcohol Degradation
PWY-1722	formate assimilation into 5,10-methylenetetrahydrofolate	Degradation/Utilization/Assimilation|C1 Compound Utilization and Assimilation
PWY-7750	carbon monoxide oxidation to CO2	Degradation/Utilization/Assimilation|C1 Compound Utilization and Assimilation
CO2FORM-PWY	methanogenesis from methanol	Generation of Precursor Metabolites and Energy|Respiration|Anaerobic Respiration|Methanogenesis|Degradation/Utilization/Assimilation|C1 Compound Utilization and Assimilation
PWY-6370	ascorbate recycling (cytosolic)	Degradation/Utilization/Assimilation|Cofactor, Prosthetic Group, Electron Carrier Degradation
PWY-5499	vitamin B6 degradation	Degradation/Utilization/Assimilation|Cofactor, Prosthetic Group, Electron Carrier Degradation
PWY-7559	glutathione degradation (DUG pathway - yeast)	Degradation/Utilization/Assimilation|Cofactor, Prosthetic Group, Electron Carrier Degradation
PWY-7912	dinoflagellate bioluminescence	Bioluminescence
PWY-2345	genistein conjugates interconversion	Activation/Inactivation/Interconversion|Interconversions|Biosynthesis|Secondary Metabolite Biosynthesis|Phenylpropanoid Derivative Biosynthesis|Flavonoid Biosynthesis|Isoflavonoid Biosynthesis|Toxin Biosynthesis|Phytoalexin Biosynthesis|Isoflavonoid Phytoalexin Biosynthesis
PWY-7915	jellyfish bioluminescence	Bioluminescence
PWY-7057	cichoriin interconversion	Activation/Inactivation/Interconversion|Interconversions|Biosynthesis|Secondary Metabolite Biosynthesis|Phenylpropanoid Derivative Biosynthesis|Coumarins Biosynthesis
PWY-7723	bacterial bioluminescence	Bioluminescence
PWY-2861	biochanin A conjugates interconversion	Activation/Inactivation/Interconversion|Interconversions|Biosynthesis|Secondary Metabolite Biosynthesis|Phenylpropanoid Derivative Biosynthesis|Flavonoid Biosynthesis|Isoflavonoid Biosynthesis|Toxin Biosynthesis|Phytoalexin Biosynthesis|Isoflavonoid Phytoalexin Biosynthesis
PWY-7914	coral bioluminescence	Bioluminescence
PWY-7949	diadinoxanthin and diatoxanthin interconversion	Activation/Inactivation/Interconversion|Interconversions|Biosynthesis|Secondary Metabolite Biosynthesis|Terpenoid Biosynthesis|Tetraterpenoid Biosynthesis|Carotenoid Biosynthesis|C40 Carotenoid Biosynthesis
PWY-7937	fungal bioluminescence	Bioluminescence
PWY-5835	geranyl acetate biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Terpenoid Biosynthesis|Monoterpenoid Biosynthesis|Activation/Inactivation/Interconversion|Interconversions
PWY-7913	firefly bioluminescence	Bioluminescence
PWY-2343	daidzein conjugates interconversion	Activation/Inactivation/Interconversion|Interconversions|Biosynthesis|Secondary Metabolite Biosynthesis|Phenylpropanoid Derivative Biosynthesis|Flavonoid Biosynthesis|Isoflavonoid Biosynthesis|Toxin Biosynthesis|Phytoalexin Biosynthesis|Isoflavonoid Phytoalexin Biosynthesis
PWY-7916	squid bioluminescence	Bioluminescence
PWY-7056	daphnin interconversion	Activation/Inactivation/Interconversion|Interconversions|Biosynthesis|Secondary Metabolite Biosynthesis|Phenylpropanoid Derivative Biosynthesis|Coumarins Biosynthesis
PWY-2701	maackiain conjugates interconversion	Activation/Inactivation/Interconversion|Interconversions|Biosynthesis|Secondary Metabolite Biosynthesis|Phenylpropanoid Derivative Biosynthesis|Flavonoid Biosynthesis|Isoflavonoid Biosynthesis|Toxin Biosynthesis|Phytoalexin Biosynthesis|Isoflavonoid Phytoalexin Biosynthesis
PWY-7369	thiamine triphosphate metabolism	Activation/Inactivation/Interconversion|Interconversions
PWY-8138	polyphosphate metabolism	Degradation/Utilization/Assimilation|Inorganic Nutrient Metabolism|Phosphorus Compound Metabolism|Activation/Inactivation/Interconversion|Interconversions
PWY-5441	S-methyl-L-methionine cycle	Activation/Inactivation/Interconversion|Interconversions
PWY-5945	violaxanthin, antheraxanthin and zeaxanthin interconversion	Activation/Inactivation/Interconversion|Interconversions|Biosynthesis|Secondary Metabolite Biosynthesis|Terpenoid Biosynthesis|Tetraterpenoid Biosynthesis|Carotenoid Biosynthesis|C40 Carotenoid Biosynthesis
PWY-6972	oleandomycin activation/inactivation	Activation/Inactivation/Interconversion|Interconversions
PWY-2561	medicarpin conjugates interconversion	Activation/Inactivation/Interconversion|Interconversions|Biosynthesis|Secondary Metabolite Biosynthesis|Phenylpropanoid Derivative Biosynthesis|Flavonoid Biosynthesis|Isoflavonoid Biosynthesis|Toxin Biosynthesis|Phytoalexin Biosynthesis|Isoflavonoid Phytoalexin Biosynthesis
PWY-2904	formononetin conjugates interconversion	Activation/Inactivation/Interconversion|Interconversions|Biosynthesis|Secondary Metabolite Biosynthesis|Phenylpropanoid Derivative Biosynthesis|Flavonoid Biosynthesis|Isoflavonoid Biosynthesis|Toxin Biosynthesis|Phytoalexin Biosynthesis|Isoflavonoid Phytoalexin Biosynthesis
PWY-801	homocysteine and cysteine interconversion	Activation/Inactivation/Interconversion|Interconversions
PWY-6745	phytochelatins biosynthesis	Detoxification
PWY-5272	abscisic acid degradation by glucosylation	Activation/Inactivation/Interconversion|Interconversions|Degradation/Utilization/Assimilation|Secondary Metabolite Degradation|Terpenoid Degradation|Sesquiterpenoid Degradation|Hormone Degradation|Plant Hormone Degradation|Abscisic Acid Degradation
PWY-6842	glutathione-mediated detoxification II	Detoxification
PWY-5926	afrormosin conjugates interconversion	Activation/Inactivation/Interconversion|Interconversions|Biosynthesis|Secondary Metabolite Biosynthesis|Phenylpropanoid Derivative Biosynthesis|Flavonoid Biosynthesis|Isoflavonoid Biosynthesis
PWY-7616	methanol oxidation to carbon dioxide	Detoxification|Degradation/Utilization/Assimilation|Alcohol Degradation
PWY-6303	methyl indole-3-acetate interconversion	Activation/Inactivation/Interconversion|Interconversions|Biosynthesis|Secondary Metabolite Biosynthesis|Hormone Biosynthesis|Plant Hormone Biosynthesis|Auxin Biosynthesis
PWY-3821	D-galactose detoxification	Detoxification
PWY-6646	fluoroacetate degradation	Detoxification
PWY-6841	homophytochelatin biosynthesis	Detoxification
PWY-6297	tuberonate glucoside biosynthesis	Activation/Inactivation/Interconversion|Inactivation
PWY-7112	4-hydroxy-2-nonenal detoxification	Detoxification
PWY-7859	jasmonoyl-L-isoleucine inactivation	Activation/Inactivation/Interconversion|Inactivation
CYANCAT-PWY	cyanate degradation	Degradation/Utilization/Assimilation|Inorganic Nutrient Metabolism|Nitrogen Compound Metabolism|Detoxification
PWY-6577	farnesylcysteine salvage pathway	Detoxification|Biosynthesis|Polyprenyl Biosynthesis|All-trans Polyprenyl Biosynthesis|All-Trans-Farnesyl-PP-Biosynthesis
PWY-4441	DIMBOA-glucoside activation	Activation/Inactivation/Interconversion|Activation
PWY-6786	detoxification of reactive carbonyls in chloroplasts	Metabolic Clusters|Detoxification
PWY-7896	isoniazid activation	Activation/Inactivation/Interconversion|Activation
PWY-6997	furfural degradation	Detoxification
PWY-1921	indole-3-acetate activation II	Activation/Inactivation/Interconversion|Activation
PWY1G-1	mycothiol-mediated detoxification	Detoxification
PWY-5340	sulfate activation for sulfonation	Degradation/Utilization/Assimilation|Inorganic Nutrient Metabolism|Sulfur Compound Metabolism|Activation/Inactivation/Interconversion|Activation
PWY-4061	glutathione-mediated detoxification I	Degradation/Utilization/Assimilation|Degradation/Utilization/Assimilation|Detoxification
PWY-7895	ethionamide activation	Activation/Inactivation/Interconversion|Activation
PWY-1822	indole-3-acetate activation I	Activation/Inactivation/Interconversion|Activation
PWY-7887	protein SAMPylation and SAMP-mediated thiolation	Macromolecule Modification|Protein Modification
PWY-7899	protein NEDDylation	Macromolecule Modification|Protein Modification
PWY-7511	protein ubiquitination	Macromolecule Modification|Protein Modification
PWY-8147	cytochrome c biogenesis (system I type)	Macromolecule Modification|Protein Modification|Biosynthesis|Tetrapyrrole Biosynthesis|Porphyrin Compound Biosynthesis|Cofactor, Carrier, and Vitamin Biosynthesis|Enzyme Cofactor Biosynthesis|Heme Biosynthesis|Cytochrome c Biogenesis
PWY-7884	lipoprotein posttranslational modification	Macromolecule Modification|Protein Modification
PWY-8129	cell-surface glycoconjugate-linked phosphonate biosynthesis	Degradation/Utilization/Assimilation|Inorganic Nutrient Metabolism|Phosphorus Compound Metabolism|Phosphonate Metabolism|Macromolecule Modification
PWY-7894	procollagen hydroxylation and glycosylation	Macromolecule Modification|Protein Modification
PWY-7886	cell-surface glycoconjugate-linked phosphocholine biosynthesis	Macromolecule Modification
PWY-8146	cytochrome c biogenesis (system II type)	Macromolecule Modification|Protein Modification|Biosynthesis|Tetrapyrrole Biosynthesis|Porphyrin Compound Biosynthesis|Cofactor, Carrier, and Vitamin Biosynthesis|Enzyme Cofactor Biosynthesis|Heme Biosynthesis|Cytochrome c Biogenesis
PWY-6928	superpathway of cholesterol degradation I (cholesterol oxidase)	Degradation/Utilization/Assimilation|Fatty Acid and Lipid Degradation|Steroid Degradation|Cholesterol Degradation
PWY0-1600	periplasmic disulfide bond reduction	Macromolecule Modification|Protein Modification
PWY-7082	ammonia oxidation IV (autotrophic ammonia oxidizers)	Generation of Precursor Metabolites and Energy|Chemoautotrophic Energy Metabolism|Degradation/Utilization/Assimilation|Inorganic Nutrient Metabolism|Nitrogen Compound Metabolism|Ammonia Oxidation
PWY-7893	protein Pupylation and dePupylation	Macromolecule Modification|Protein Modification
PWY-7229	superpathway of adenosine nucleotides de novo biosynthesis I	Biosynthesis|Nucleoside and Nucleotide Biosynthesis|Purine Nucleotide Biosynthesis|Purine Nucleotide De Novo Biosynthesis
PWY-7942	5-oxo-L-proline metabolism	Macromolecule Modification|Protein Modification
PWY-7345	superpathway of anaerobic sucrose degradation	Degradation/Utilization/Assimilation|Carbohydrate Degradation|Sugar Degradation|Sucrose Degradation
PWY-8145	cytochrome c biogenesis (system III type)	Macromolecule Modification|Protein Modification|Biosynthesis|Tetrapyrrole Biosynthesis|Porphyrin Compound Biosynthesis|Cofactor, Carrier, and Vitamin Biosynthesis|Enzyme Cofactor Biosynthesis|Heme Biosynthesis|Cytochrome c Biogenesis
PWY-7537	superpathway of fumitremorgin biosynthesis	Superpathways|superpathway of fumitremorgin biosynthesis
PWY-7798	protein S-nitrosylation and denitrosylation	Macromolecule Modification|Protein Modification
PWY-8154	superpathway of cholesterol degradation III (oxidase)	Degradation/Utilization/Assimilation|Fatty Acid and Lipid Degradation|Steroid Degradation|Cholesterol Degradation
PWY0-1599	periplasmic disulfide bond formation	Macromolecule Modification|Protein Modification
PWY0-845	superpathway of pyridoxal 5'-phosphate biosynthesis and salvage	Biosynthesis|Cofactor, Carrier, and Vitamin Biosynthesis|Vitamin Biosynthesis|Enzyme Cofactor Biosynthesis|Vitamin B6 Biosynthesis|Superpathways
PWY66-5	superpathway of cholesterol biosynthesis	Biosynthesis|Fatty Acid and Lipid Biosynthesis|Sterol Biosynthesis
ALLANTOINDEG-PWY	superpathway of allantoin degradation in yeast	Degradation/Utilization/Assimilation|Amine and Polyamine Degradation|Allantoin Degradation
PWY-7888	tRNA-uridine 2-thiolation (cytoplasmic)	Macromolecule Modification|Nucleic Acid Processing
COA-PWY-1	superpathway of coenzyme A biosynthesis III (mammals)	Biosynthesis|Cofactor, Carrier, and Vitamin Biosynthesis|Carrier Biosynthesis|Coenzyme A Biosynthesis
PWY-7892	tRNA-uridine 2-thiolation and selenation (bacteria)	Macromolecule Modification|Nucleic Acid Processing
GLUDEG-I-PWY	GABA shunt	Degradation/Utilization/Assimilation|Amino Acid Degradation|Proteinogenic Amino Acid Degradation|L-glutamate Degradation|Amine and Polyamine Degradation|4-Aminobutanoate Degradation
PWY0-1479	tRNA processing	Macromolecule Modification|Nucleic Acid Processing
ORNARGDEG-PWY	superpathway of L-arginine and L-ornithine degradation	Degradation/Utilization/Assimilation|Amino Acid Degradation|Proteinogenic Amino Acid Degradation|L-arginine Degradation
PWY-6711	archaeosine biosynthesis I	Macromolecule Modification|Nucleic Acid Processing
PHOSLIPSYN-PWY	superpathway of phospholipid biosynthesis I (bacteria)	Biosynthesis|Fatty Acid and Lipid Biosynthesis|Phospholipid Biosynthesis
PWY-7285	methylwyosine biosynthesis	Macromolecule Modification|Nucleic Acid Processing
PWY-3001	superpathway of L-isoleucine biosynthesis I	Biosynthesis|Amino Acid Biosynthesis|Proteinogenic Amino Acid Biosynthesis|L-isoleucine Biosynthesis
PWY-7891	tRNA-uridine 2-thiolation (yeast mitochondria)	Macromolecule Modification|Nucleic Acid Processing
PWY-5062	superpathway of nicotinate degradation	Degradation/Utilization/Assimilation|Aromatic Compound Degradation
PWY-7923	archaeosine biosynthesis II	Macromolecule Modification|Nucleic Acid Processing
PWY-5184	toluene degradation VI (anaerobic)	Degradation/Utilization/Assimilation|Aromatic Compound Degradation|Toluene Degradation|Superpathways
PWY0-1587	N6-L-threonylcarbamoyladenosine37-modified tRNA biosynthesis	Macromolecule Modification|Nucleic Acid Processing
PWY-5347	superpathway of L-methionine biosynthesis (transsulfuration)	Biosynthesis|Amino Acid Biosynthesis|Proteinogenic Amino Acid Biosynthesis|L-methionine Biosynthesis|L-methionine De Novo Biosynthesis
PWY-7375	mRNA capping I	Macromolecule Modification|Nucleic Acid Processing
PWY-5505	L-glutamate and L-glutamine biosynthesis	Metabolic Clusters|Biosynthesis|Amino Acid Biosynthesis|Proteinogenic Amino Acid Biosynthesis|L-glutamine Biosynthesis|L-glutamate Biosynthesis
PWY-7889	tRNA-uridine 2-thiolation (mammalian mitochondria)	Macromolecule Modification|Nucleic Acid Processing
PWY-5823	superpathway of CDP-glucose-derived O-antigen building blocks biosynthesis	Biosynthesis|Carbohydrate Biosynthesis|Sugar Biosynthesis|Sugar Nucleotide Biosynthesis|CDP-sugar Biosynthesis
PWY-7904	tRNA-uridine 2-thiolation (thermophilic bacteria)	Macromolecule Modification|Nucleic Acid Processing
PWY-5918	superpathway of heme b biosynthesis from glutamate	Biosynthesis|Tetrapyrrole Biosynthesis|Porphyrin Compound Biosynthesis|Cofactor, Carrier, and Vitamin Biosynthesis|Enzyme Cofactor Biosynthesis|Heme Biosynthesis|Heme b Biosynthesis
PWY0-1554	5-(methoxycarbonylmethoxy)uridine biosynthesis	Macromolecule Modification|Nucleic Acid Processing
PWY-6165	chorismate biosynthesis II (archaea)	Biosynthesis|Aromatic Compound Biosynthesis|Chorismate Biosynthesis
PWY-7286	7-(3-amino-3-carboxypropyl)-wyosine biosynthesis	Macromolecule Modification|Nucleic Acid Processing
PWY-6338	superpathway of vanillin and vanillate degradation	Degradation/Utilization/Assimilation|Aromatic Compound Degradation|Vanillin Degradation|Superpathways
PWY-7685	L-malate degradation I	Degradation/Utilization/Assimilation|Carboxylate Degradation|(S)-Malate Degradation|Detoxification|Acid Resistance
PWY-6471	peptidoglycan biosynthesis IV (Enterococcus faecium)	Biosynthesis|Cell Structure Biosynthesis|Cell Wall Biosynthesis|Peptidoglycan Biosynthesis|Detoxification|Antibiotic Resistance
PWY0-1305	L-glutamate degradation IX (via 4-aminobutanoate)	Degradation/Utilization/Assimilation|Amino Acid Degradation|Proteinogenic Amino Acid Degradation|L-glutamate Degradation|Detoxification|Acid Resistance
PWY-6612	superpathway of tetrahydrofolate biosynthesis	Biosynthesis|Cofactor, Carrier, and Vitamin Biosynthesis|Vitamin Biosynthesis|Carrier Biosynthesis|Single Carbon Carrier Biosynthesis|Folate Biosynthesis
PWY0-1299	arginine dependent acid resistance	Detoxification|Acid Resistance
PWY-6954	superpathway of aromatic compound degradation via 2-hydroxypentadienoate	Degradation/Utilization/Assimilation|Aromatic Compound Degradation
PWY-7142	cyanide detoxification II	Detoxification|Cyanide Detoxification
PWY-7124	ethene biosynthesis V (engineered)	Biosynthesis|Secondary Metabolite Biosynthesis|Hormone Biosynthesis|Plant Hormone Biosynthesis|Ethene Biosynthesis
ASPSYNII-PWY	cyanide detoxification I	Detoxification|Cyanide Detoxification
PWY-724	superpathway of L-lysine, L-threonine and L-methionine biosynthesis II	Biosynthesis|Amino Acid Biosynthesis
DETOX1-PWY	superoxide radicals degradation	Detoxification|Reactive Oxygen Species Degradation
PWY-7384	anaerobic energy metabolism (invertebrates, mitochondrial)	Generation of Precursor Metabolites and Energy|Fermentation|Fermentation to Short-Chain Fatty Acids
PWY-7214	baicalein degradation (hydrogen peroxide detoxification)	Detoxification|Reactive Oxygen Species Degradation|Degradation/Utilization/Assimilation|Secondary Metabolite Degradation|Aromatic Compound Degradation|Phenolic Compound Degradation|Phenylpropanoid Derivative Degradation
PWY-7596	superpathway of stearidonate biosynthesis (cyanobacteria)	Biosynthesis|Fatty Acid and Lipid Biosynthesis|Fatty Acid Biosynthesis|Unsaturated Fatty Acid Biosynthesis|Polyunsaturated Fatty Acid Biosynthesis
PWY-2261	ascorbate glutathione cycle	Detoxification|Reactive Oxygen Species Degradation
PWY-841	superpathway of purine nucleotides de novo biosynthesis I	Biosynthesis|Nucleoside and Nucleotide Biosynthesis|Purine Nucleotide Biosynthesis|Purine Nucleotide De Novo Biosynthesis
PWY-4202	arsenate detoxification I (mammalian)	Detoxification|Arsenate Detoxification
PWY18C3-14	superpathway of glandular trichomes produced diterpenoids (tobacco)	Biosynthesis|Secondary Metabolite Biosynthesis|Terpenoid Biosynthesis|Diterpenoid Biosynthesis
PWY-6421	arsenate detoxification IV (mycothiol)	Detoxification|Arsenate Detoxification
SUCSYN-PWY	sucrose biosynthesis I (from photosynthesis)	Biosynthesis|Carbohydrate Biosynthesis|Sugar Biosynthesis|Sucrose Biosynthesis
PWY1YI0-1	arsenate detoxification V	Detoxification|Arsenate Detoxification
COMPLETE-ARO-PWY	superpathway of aromatic amino acid biosynthesis	Biosynthesis|Amino Acid Biosynthesis
PWY-4621	arsenate detoxification II (glutaredoxin)	Detoxification|Arsenate Detoxification
GLYCOLYSIS-E-D	superpathway of glycolysis and the Entner-Doudoroff pathway	Generation of Precursor Metabolites and Energy
PWY-8101	arsenate detoxification III (thioredoxin)	Detoxification|Arsenate Detoxification
P142-PWY	pyruvate fermentation to acetate I	Generation of Precursor Metabolites and Energy|Fermentation|Fermentation of Pyruvate|Fermentation to Short-Chain Fatty Acids|Degradation/Utilization/Assimilation|Carboxylate Degradation|Fermentation to Acetate|Pyruvate Fermentation to Acetate
PWY-5458	methylglyoxal degradation V	Detoxification|Degradation/Utilization/Assimilation|Aldehyde Degradation|Methylglyoxal Detoxification
POLYAMINSYN3-PWY	superpathway of polyamine biosynthesis II	Biosynthesis|Amine and Polyamine Biosynthesis
PWY-5386	methylglyoxal degradation I	Detoxification|Degradation/Utilization/Assimilation|Aldehyde Degradation|Methylglyoxal Detoxification
PWY-3481	superpathway of L-phenylalanine and L-tyrosine biosynthesis	Biosynthesis|Amino Acid Biosynthesis
PWY-5456	methylglyoxal degradation VII	Detoxification|Degradation/Utilization/Assimilation|Aldehyde Degradation|Methylglyoxal Detoxification
PWY-5096	pyruvate fermentation to acetate and alanine	Generation of Precursor Metabolites and Energy|Fermentation|Fermentation of Pyruvate|Fermentation to Short-Chain Fatty Acids|Degradation/Utilization/Assimilation|Carboxylate Degradation|Fermentation to Acetate|Pyruvate Fermentation to Acetate
PWY-5462	methylglyoxal degradation II	Detoxification|Degradation/Utilization/Assimilation|Aldehyde Degradation|Methylglyoxal Detoxification
PWY-5266	p-cymene degradation	Degradation/Utilization/Assimilation|Aromatic Compound Degradation
MGLDLCTANA-PWY	methylglyoxal degradation VI	Detoxification|Degradation/Utilization/Assimilation|Aldehyde Degradation|Methylglyoxal Detoxification
PWY-5415	catechol degradation I (meta-cleavage pathway)	Degradation/Utilization/Assimilation|Aromatic Compound Degradation|Catechol Degradation
PWY-5453	methylglyoxal degradation III	Detoxification|Degradation/Utilization/Assimilation|Aldehyde Degradation|Methylglyoxal Detoxification
PWY-5537	pyruvate fermentation to acetate V	Generation of Precursor Metabolites and Energy|Fermentation|Fermentation of Pyruvate|Fermentation to Short-Chain Fatty Acids|Degradation/Utilization/Assimilation|Carboxylate Degradation|Fermentation to Acetate|Pyruvate Fermentation to Acetate
PWY-5845	superpathway of menaquinol-9 biosynthesis	Biosynthesis|Cofactor, Carrier, and Vitamin Biosynthesis|Carrier Biosynthesis|Electron Carrier Biosynthesis|Quinol and Quinone Biosynthesis|Menaquinol Biosynthesis
PWY-7808	tetracycline resistance	Detoxification|Antibiotic Resistance|Degradation/Utilization/Assimilation|Secondary Metabolite Degradation|Antibiotic degradation
PWY-5961	superpathway of aflatoxin biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis
PWY-7096	triclosan resistance	Detoxification|Antibiotic Resistance
PWY-6196	D-serine degradation	Degradation/Utilization/Assimilation|Amino Acid Degradation|Other Amino Acid Degradation|D-Amino Acid Degradation
PWY-6828	linezolid resistance	Detoxification|Antibiotic Resistance
PWY-6353	purine nucleotides degradation II (aerobic)	Degradation/Utilization/Assimilation|Nucleoside and Nucleotide Degradation|Purine Nucleotide Degradation
P641-PWY	phenylmercury acetate degradation	Detoxification|Mercury Detoxification
PWY-6516	superpathway of microbial D-galacturonate and D-glucuronate degradation	Degradation/Utilization/Assimilation|Secondary Metabolite Degradation|Sugar Derivative Degradation
PWY-6932	selenate reduction	Degradation/Utilization/Assimilation|Inorganic Nutrient Metabolism|Selenium Metabolism
PWY-6629	superpathway of L-tryptophan biosynthesis	Biosynthesis|Amino Acid Biosynthesis|Proteinogenic Amino Acid Biosynthesis|L-tryptophan Biosynthesis|Superpathways
PWY-6933	seleno-amino acid detoxification and volatilization III	Degradation/Utilization/Assimilation|Inorganic Nutrient Metabolism|Selenium Metabolism|Detoxification|Seleno-Amino Acid Detoxification
PWY-6962	superpathway of trimethylamine degradation	Degradation/Utilization/Assimilation|Amine and Polyamine Degradation
PWY-6931	seleno-amino acid detoxification and volatilization I	Degradation/Utilization/Assimilation|Inorganic Nutrient Metabolism|Selenium Metabolism|Detoxification|Seleno-Amino Acid Detoxification
PWY-7169	hyperxanthone E biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Xanthone Biosynthesis|Superpathways
PWY-6935	seleno-amino acid detoxification and volatilization II	Degradation/Utilization/Assimilation|Inorganic Nutrient Metabolism|Selenium Metabolism|Detoxification|Seleno-Amino Acid Detoxification
PWY-7277	sphingolipid biosynthesis (mammals)	Biosynthesis|Fatty Acid and Lipid Biosynthesis|Sphingolipid Biosynthesis
PWY-7393	&beta;-carotene biosynthesis (engineered)	Biosynthesis|Secondary Metabolite Biosynthesis|Terpenoid Biosynthesis|Tetraterpenoid Biosynthesis|Carotenoid Biosynthesis|C40 Carotenoid Biosynthesis
PWY-7622	UDP-&alpha;-D-galactofuranose biosynthesis	Biosynthesis|Carbohydrate Biosynthesis|Sugar Biosynthesis|Sugar Nucleotide Biosynthesis|UDP-sugar Biosynthesis|Superpathways
PWY0-1277	3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation	Degradation/Utilization/Assimilation|Aromatic Compound Degradation
PWY18C3-6	superpathway of glycoalkaloid metabolism (Solanaceae)	Biosynthesis|Secondary Metabolite Biosynthesis|Nitrogen-Containing Secondary Compound Biosynthesis|Alkaloid Biosynthesis
THISYN-PWY	superpathway of thiamine diphosphate biosynthesis I	Biosynthesis|Cofactor, Carrier, and Vitamin Biosynthesis|Vitamin Biosynthesis|Enzyme Cofactor Biosynthesis|Thiamine Biosynthesis|Superpathways
ARG+POLYAMINE-SYN	superpathway of arginine and polyamine biosynthesis	Biosynthesis|Amine and Polyamine Biosynthesis
ECASYN-PWY	enterobacterial common antigen biosynthesis	Biosynthesis|Cell Structure Biosynthesis|Lipopolysaccharide Biosynthesis
HEXITOLDEGSUPER-PWY	superpathway of hexitol degradation (bacteria)	Degradation/Utilization/Assimilation|Secondary Metabolite Degradation|Sugar Derivative Degradation|Sugar Alcohol Degradation
P344-PWY	superpathway of acrylonitrile degradation	Degradation/Utilization/Assimilation|Degradation/Utilization/Assimilation|Acrylonitrile Degradation
PROPFERM-PWY	superpathway of L-alanine fermentation (Stickland reaction)	Generation of Precursor Metabolites and Energy|Fermentation|Fermentation to Short-Chain Fatty Acids|Fermentation to Propanoate|Amino Acid Fermentation (Stickland reactions)|Degradation/Utilization/Assimilation|Carboxylate Degradation|Fermentation to Acetate
PWY-4041	&gamma;-glutamyl cycle	Biosynthesis|Cofactor, Carrier, and Vitamin Biosynthesis|Carrier Biosynthesis|Electron Carrier Biosynthesis|Reductant Biosynthesis
PWY-5121	superpathway of geranylgeranyl diphosphate biosynthesis II (via MEP)	Biosynthesis|Polyprenyl Biosynthesis|Geranylgeranyl Diphosphate Biosynthesis|Secondary Metabolite Biosynthesis|Terpenoid Biosynthesis|Diterpenoid Biosynthesis
PWY-5304	superpathway of sulfur oxidation (Acidianus ambivalens)	Degradation/Utilization/Assimilation|Inorganic Nutrient Metabolism|Sulfur Compound Metabolism|Sulfur Oxidation
PWY-5420	catechol degradation II (meta-cleavage pathway)	Degradation/Utilization/Assimilation|Aromatic Compound Degradation|Catechol Degradation
PWY-561	superpathway of glyoxylate cycle and fatty acid degradation	Generation of Precursor Metabolites and Energy
PWY-5861	superpathway of demethylmenaquinol-8 biosynthesis I	Biosynthesis|Cofactor, Carrier, and Vitamin Biosynthesis|Carrier Biosynthesis|Electron Carrier Biosynthesis|Quinol and Quinone Biosynthesis|Demethylmenaquinol Biosynthesis|Demethylmenaquinol-8 Biosynthesis
PWY-6049	superpathway of dimethylsulfoniopropanoate degradation	Degradation/Utilization/Assimilation|Inorganic Nutrient Metabolism|Sulfur Compound Metabolism|Dimethylsulfoniopropanoate Degradation
PWY-6266	superpathway of flavones and derivatives biosynthesis	Superpathways|superpathway of flavones and derivatives biosynthesis
PWY-6374	vibriobactin biosynthesis	Biosynthesis|Secondary Metabolite Biosynthesis|Siderophore and Metallophore Biosynthesis
PWY-6555	superpathway of 1D-myo-inositol hexakisphosphate biosynthesis (plants)	Biosynthesis|Secondary Metabolite Biosynthesis|Sugar Derivative Biosynthesis|Sugar Alcohol Biosynthesis|Cyclitol Biosynthesis|Phytate Biosynthesis
