#mapID	PathwayName	Pathway
map04810	Regulation of actin cytoskeleton	Cellular Processes|Cell motility|Regulation of actin cytoskeleton
map04640	Hematopoietic cell lineage	Organismal Systems|Immune system|Hematopoietic cell lineage
map04610	Complement and coagulation cascades	Organismal Systems|Immune system|Complement and coagulation cascades
map04611	Platelet activation	Organismal Systems|Immune system|Platelet activation
map04613	Neutrophil extracellular trap formation	Organismal Systems|Immune system|Neutrophil extracellular trap formation
map04620	Toll-like receptor signaling pathway	Organismal Systems|Immune system|Toll-like receptor signaling pathway
map04624	Toll and Imd signaling pathway	Organismal Systems|Immune system|Toll and Imd signaling pathway
map04621	NOD-like receptor signaling pathway	Organismal Systems|Immune system|NOD-like receptor signaling pathway
map04622	RIG-I-like receptor signaling pathway	Organismal Systems|Immune system|RIG-I-like receptor signaling pathway
map04623	Cytosolic DNA-sensing pathway	Organismal Systems|Immune system|Cytosolic DNA-sensing pathway
map04625	C-type lectin receptor signaling pathway	Organismal Systems|Immune system|C-type lectin receptor signaling pathway
map04650	Natural killer cell mediated cytotoxicity	Organismal Systems|Immune system|Natural killer cell mediated cytotoxicity
map04612	Antigen processing and presentation	Organismal Systems|Immune system|Antigen processing and presentation
map04660	T cell receptor signaling pathway	Organismal Systems|Immune system|T cell receptor signaling pathway
map04658	Th1 and Th2 cell differentiation	Organismal Systems|Immune system|Th1 and Th2 cell differentiation
map04659	Th17 cell differentiation	Organismal Systems|Immune system|Th17 cell differentiation
map04657	IL-17 signaling pathway	Organismal Systems|Immune system|IL-17 signaling pathway
map04662	B cell receptor signaling pathway	Organismal Systems|Immune system|B cell receptor signaling pathway
map04664	Fc epsilon RI signaling pathway	Organismal Systems|Immune system|Fc epsilon RI signaling pathway
map04666	Fc gamma R-mediated phagocytosis	Organismal Systems|Immune system|Fc gamma R-mediated phagocytosis
map04670	Leukocyte transendothelial migration	Organismal Systems|Immune system|Leukocyte transendothelial migration
map04672	Intestinal immune network for IgA production	Organismal Systems|Immune system|Intestinal immune network for IgA production
map04062	Chemokine signaling pathway	Organismal Systems|Immune system|Chemokine signaling pathway
map04911	Insulin secretion	Organismal Systems|Endocrine system|Insulin secretion
map04910	Insulin signaling pathway	Organismal Systems|Endocrine system|Insulin signaling pathway
map04922	Glucagon signaling pathway	Organismal Systems|Endocrine system|Glucagon signaling pathway
map04923	Regulation of lipolysis in adipocytes	Organismal Systems|Endocrine system|Regulation of lipolysis in adipocytes
map04920	Adipocytokine signaling pathway	Organismal Systems|Endocrine system|Adipocytokine signaling pathway
map03320	PPAR signaling pathway	Organismal Systems|Endocrine system|PPAR signaling pathway
map04929	GnRH secretion	Organismal Systems|Endocrine system|GnRH secretion
map04912	GnRH signaling pathway	Organismal Systems|Endocrine system|GnRH signaling pathway
map04913	Ovarian steroidogenesis	Organismal Systems|Endocrine system|Ovarian steroidogenesis
map04915	Estrogen signaling pathway	Organismal Systems|Endocrine system|Estrogen signaling pathway
map04914	Progesterone-mediated oocyte maturation	Organismal Systems|Endocrine system|Progesterone-mediated oocyte maturation
map04917	Prolactin signaling pathway	Organismal Systems|Endocrine system|Prolactin signaling pathway
map04921	Oxytocin signaling pathway	Organismal Systems|Endocrine system|Oxytocin signaling pathway
map04926	Relaxin signaling pathway	Organismal Systems|Endocrine system|Relaxin signaling pathway
map04935	Growth hormone synthesis, secretion and action	Organismal Systems|Endocrine system|Growth hormone synthesis, secretion and action
map04918	Thyroid hormone synthesis	Organismal Systems|Endocrine system|Thyroid hormone synthesis
map04919	Thyroid hormone signaling pathway	Organismal Systems|Endocrine system|Thyroid hormone signaling pathway
map04928	Parathyroid hormone synthesis, secretion and action	Organismal Systems|Endocrine system|Parathyroid hormone synthesis, secretion and action
map04916	Melanogenesis	Organismal Systems|Endocrine system|Melanogenesis
map04924	Renin secretion	Organismal Systems|Endocrine system|Renin secretion
map04614	Renin-angiotensin system	Organismal Systems|Endocrine system|Renin-angiotensin system
map04925	Aldosterone synthesis and secretion	Organismal Systems|Endocrine system|Aldosterone synthesis and secretion
map04927	Cortisol synthesis and secretion	Organismal Systems|Endocrine system|Cortisol synthesis and secretion
map04260	Cardiac muscle contraction	Organismal Systems|Circulatory system|Cardiac muscle contraction
map04261	Adrenergic signaling in cardiomyocytes	Organismal Systems|Circulatory system|Adrenergic signaling in cardiomyocytes
map04270	Vascular smooth muscle contraction	Organismal Systems|Circulatory system|Vascular smooth muscle contraction
map04970	Salivary secretion	Organismal Systems|Digestive system|Salivary secretion
map04971	Gastric acid secretion	Organismal Systems|Digestive system|Gastric acid secretion
map04972	Pancreatic secretion	Organismal Systems|Digestive system|Pancreatic secretion
map04976	Bile secretion	Organismal Systems|Digestive system|Bile secretion
map04973	Carbohydrate digestion and absorption	Organismal Systems|Digestive system|Carbohydrate digestion and absorption
map04974	Protein digestion and absorption	Organismal Systems|Digestive system|Protein digestion and absorption
map04975	Fat digestion and absorption	Organismal Systems|Digestive system|Fat digestion and absorption
map04979	Cholesterol metabolism	Organismal Systems|Digestive system|Cholesterol metabolism
map04977	Vitamin digestion and absorption	Organismal Systems|Digestive system|Vitamin digestion and absorption
map04978	Mineral absorption	Organismal Systems|Digestive system|Mineral absorption
map04962	Vasopressin-regulated water reabsorption	Organismal Systems|Excretory system|Vasopressin-regulated water reabsorption
map04960	Aldosterone-regulated sodium reabsorption	Organismal Systems|Excretory system|Aldosterone-regulated sodium reabsorption
map04961	Endocrine and other factor-regulated calcium reabsorption	Organismal Systems|Excretory system|Endocrine and other factor-regulated calcium reabsorption
map04964	Proximal tubule bicarbonate reclamation	Organismal Systems|Excretory system|Proximal tubule bicarbonate reclamation
map04966	Collecting duct acid secretion	Organismal Systems|Excretory system|Collecting duct acid secretion
map04724	Glutamatergic synapse	Organismal Systems|Nervous system|Glutamatergic synapse
map04727	GABAergic synapse	Organismal Systems|Nervous system|GABAergic synapse
map04725	Cholinergic synapse	Organismal Systems|Nervous system|Cholinergic synapse
map04728	Dopaminergic synapse	Organismal Systems|Nervous system|Dopaminergic synapse
map04726	Serotonergic synapse	Organismal Systems|Nervous system|Serotonergic synapse
map04720	Long-term potentiation	Organismal Systems|Nervous system|Long-term potentiation
map04730	Long-term depression	Organismal Systems|Nervous system|Long-term depression
map04723	Retrograde endocannabinoid signaling	Organismal Systems|Nervous system|Retrograde endocannabinoid signaling
map04721	Synaptic vesicle cycle	Organismal Systems|Nervous system|Synaptic vesicle cycle
map04722	Neurotrophin signaling pathway	Organismal Systems|Nervous system|Neurotrophin signaling pathway
map04744	Phototransduction	Organismal Systems|Sensory system|Phototransduction
map04745	Phototransduction - fly	Organismal Systems|Sensory system|Phototransduction - fly
map04740	Olfactory transduction	Organismal Systems|Sensory system|Olfactory transduction
map04742	Taste transduction	Organismal Systems|Sensory system|Taste transduction
map04750	Inflammatory mediator regulation of TRP channels	Organismal Systems|Sensory system|Inflammatory mediator regulation of TRP channels
map04320	Dorso-ventral axis formation	Organismal Systems|Development and regeneration|Dorso-ventral axis formation
map04360	Axon guidance	Organismal Systems|Development and regeneration|Axon guidance
map04361	Axon regeneration	Organismal Systems|Development and regeneration|Axon regeneration
map04380	Osteoclast differentiation	Organismal Systems|Development and regeneration|Osteoclast differentiation
map04211	Longevity regulating pathway	Organismal Systems|Aging|Longevity regulating pathway
map04212	Longevity regulating pathway - worm	Organismal Systems|Aging|Longevity regulating pathway - worm
map04213	Longevity regulating pathway - multiple species	Organismal Systems|Aging|Longevity regulating pathway - multiple species
map04710	Circadian rhythm	Organismal Systems|Environmental adaptation|Circadian rhythm
map04713	Circadian entrainment	Organismal Systems|Environmental adaptation|Circadian entrainment
map04711	Circadian rhythm - fly	Organismal Systems|Environmental adaptation|Circadian rhythm - fly
map04712	Circadian rhythm - plant	Organismal Systems|Environmental adaptation|Circadian rhythm - plant
map04714	Thermogenesis	Organismal Systems|Environmental adaptation|Thermogenesis
map04626	Plant-pathogen interaction	Organismal Systems|Environmental adaptation|Plant-pathogen interaction
map05200	Pathways in cancer	Human Diseases|Cancer: overview|Pathways in cancer
map05202	Transcriptional misregulation in cancer	Human Diseases|Cancer: overview|Transcriptional misregulation in cancer
map05206	MicroRNAs in cancer	Human Diseases|Cancer: overview|MicroRNAs in cancer
map05205	Proteoglycans in cancer	Human Diseases|Cancer: overview|Proteoglycans in cancer
map05204	Chemical carcinogenesis	Human Diseases|Cancer: overview|Chemical carcinogenesis
map05203	Viral carcinogenesis	Human Diseases|Cancer: overview|Viral carcinogenesis
map05230	Central carbon metabolism in cancer	Human Diseases|Cancer: overview|Central carbon metabolism in cancer
map05231	Choline metabolism in cancer	Human Diseases|Cancer: overview|Choline metabolism in cancer
map05235	PD-L1 expression and PD-1 checkpoint pathway in cancer	Human Diseases|Cancer: overview|PD-L1 expression and PD-1 checkpoint pathway in cancer
map05210	Colorectal cancer	Human Diseases|Cancer: specific types|Colorectal cancer
map05212	Pancreatic cancer	Human Diseases|Cancer: specific types|Pancreatic cancer
map05225	Hepatocellular carcinoma	Human Diseases|Cancer: specific types|Hepatocellular carcinoma
map05226	Gastric cancer	Human Diseases|Cancer: specific types|Gastric cancer
map05214	Glioma	Human Diseases|Cancer: specific types|Glioma
map05216	Thyroid cancer	Human Diseases|Cancer: specific types|Thyroid cancer
map05221	Acute myeloid leukemia	Human Diseases|Cancer: specific types|Acute myeloid leukemia
map05220	Chronic myeloid leukemia	Human Diseases|Cancer: specific types|Chronic myeloid leukemia
map05217	Basal cell carcinoma	Human Diseases|Cancer: specific types|Basal cell carcinoma
map05218	Melanoma	Human Diseases|Cancer: specific types|Melanoma
map05211	Renal cell carcinoma	Human Diseases|Cancer: specific types|Renal cell carcinoma
map05219	Bladder cancer	Human Diseases|Cancer: specific types|Bladder cancer
map05215	Prostate cancer	Human Diseases|Cancer: specific types|Prostate cancer
map05213	Endometrial cancer	Human Diseases|Cancer: specific types|Endometrial cancer
map05224	Breast cancer	Human Diseases|Cancer: specific types|Breast cancer
map05222	Small cell lung cancer	Human Diseases|Cancer: specific types|Small cell lung cancer
map05223	Non-small cell lung cancer	Human Diseases|Cancer: specific types|Non-small cell lung cancer
map05166	Human T-cell leukemia virus 1 infection	Human Diseases|Infectious disease: viral|Human T-cell leukemia virus 1 infection
map05170	Human immunodeficiency virus 1 infection	Human Diseases|Infectious disease: viral|Human immunodeficiency virus 1 infection
map05161	Hepatitis B	Human Diseases|Infectious disease: viral|Hepatitis B
map05160	Hepatitis C	Human Diseases|Infectious disease: viral|Hepatitis C
map05171	Coronavirus disease - COVID-19	Human Diseases|Infectious disease: viral|Coronavirus disease - COVID-19
map05164	Influenza A	Human Diseases|Infectious disease: viral|Influenza A
map05162	Measles	Human Diseases|Infectious disease: viral|Measles
map05168	Herpes simplex virus 1 infection	Human Diseases|Infectious disease: viral|Herpes simplex virus 1 infection
map05163	Human cytomegalovirus infection	Human Diseases|Infectious disease: viral|Human cytomegalovirus infection
map05167	Kaposi sarcoma-associated herpesvirus infection	Human Diseases|Infectious disease: viral|Kaposi sarcoma-associated herpesvirus infection
map05169	Epstein-Barr virus infection	Human Diseases|Infectious disease: viral|Epstein-Barr virus infection
map05165	Human papillomavirus infection	Human Diseases|Infectious disease: viral|Human papillomavirus infection
map05110	Vibrio cholerae infection	Human Diseases|Infectious disease: bacterial|Vibrio cholerae infection
map05120	Epithelial cell signaling in Helicobacter pylori infection	Human Diseases|Infectious disease: bacterial|Epithelial cell signaling in Helicobacter pylori infection
map05130	Pathogenic Escherichia coli infection	Human Diseases|Infectious disease: bacterial|Pathogenic Escherichia coli infection
map05132	Salmonella infection	Human Diseases|Infectious disease: bacterial|Salmonella infection
map05131	Shigellosis	Human Diseases|Infectious disease: bacterial|Shigellosis
map05135	Yersinia infection	Human Diseases|Infectious disease: bacterial|Yersinia infection
map05133	Pertussis	Human Diseases|Infectious disease: bacterial|Pertussis
map05134	Legionellosis	Human Diseases|Infectious disease: bacterial|Legionellosis
map05150	Staphylococcus aureus infection	Human Diseases|Infectious disease: bacterial|Staphylococcus aureus infection
map05152	Tuberculosis	Human Diseases|Infectious disease: bacterial|Tuberculosis
map05100	Bacterial invasion of epithelial cells	Human Diseases|Infectious disease: bacterial|Bacterial invasion of epithelial cells
map05146	Amoebiasis	Human Diseases|Infectious disease: parasitic|Amoebiasis
map05144	Malaria	Human Diseases|Infectious disease: parasitic|Malaria
map05145	Toxoplasmosis	Human Diseases|Infectious disease: parasitic|Toxoplasmosis
map05140	Leishmaniasis	Human Diseases|Infectious disease: parasitic|Leishmaniasis
map05142	Chagas disease	Human Diseases|Infectious disease: parasitic|Chagas disease
map05143	African trypanosomiasis	Human Diseases|Infectious disease: parasitic|African trypanosomiasis
map05310	Asthma	Human Diseases|Immune disease|Asthma
map05322	Systemic lupus erythematosus	Human Diseases|Immune disease|Systemic lupus erythematosus
map05323	Rheumatoid arthritis	Human Diseases|Immune disease|Rheumatoid arthritis
map05320	Autoimmune thyroid disease	Human Diseases|Immune disease|Autoimmune thyroid disease
map05321	Inflammatory bowel disease	Human Diseases|Immune disease|Inflammatory bowel disease
map05330	Allograft rejection	Human Diseases|Immune disease|Allograft rejection
map05332	Graft-versus-host disease	Human Diseases|Immune disease|Graft-versus-host disease
map05340	Primary immunodeficiency	Human Diseases|Immune disease|Primary immunodeficiency
map05010	Alzheimer disease	Human Diseases|Neurodegenerative disease|Alzheimer disease
map05012	Parkinson disease	Human Diseases|Neurodegenerative disease|Parkinson disease
map05014	Amyotrophic lateral sclerosis	Human Diseases|Neurodegenerative disease|Amyotrophic lateral sclerosis
map05016	Huntington disease	Human Diseases|Neurodegenerative disease|Huntington disease
map05017	Spinocerebellar ataxia	Human Diseases|Neurodegenerative disease|Spinocerebellar ataxia
map05020	Prion disease	Human Diseases|Neurodegenerative disease|Prion disease
map05022	Pathways of neurodegeneration - multiple diseases	Human Diseases|Neurodegenerative disease|Pathways of neurodegeneration - multiple diseases
map05030	Cocaine addiction	Human Diseases|Substance dependence|Cocaine addiction
map05031	Amphetamine addiction	Human Diseases|Substance dependence|Amphetamine addiction
map05032	Morphine addiction	Human Diseases|Substance dependence|Morphine addiction
map05033	Nicotine addiction	Human Diseases|Substance dependence|Nicotine addiction
map05034	Alcoholism	Human Diseases|Substance dependence|Alcoholism
map05417	Lipid and atherosclerosis	Human Diseases|Cardiovascular disease|Lipid and atherosclerosis
map05418	Fluid shear stress and atherosclerosis	Human Diseases|Cardiovascular disease|Fluid shear stress and atherosclerosis
map05410	Hypertrophic cardiomyopathy	Human Diseases|Cardiovascular disease|Hypertrophic cardiomyopathy
map05412	Arrhythmogenic right ventricular cardiomyopathy	Human Diseases|Cardiovascular disease|Arrhythmogenic right ventricular cardiomyopathy
map05414	Dilated cardiomyopathy	Human Diseases|Cardiovascular disease|Dilated cardiomyopathy
map05415	Diabetic cardiomyopathy	Human Diseases|Cardiovascular disease|Diabetic cardiomyopathy
map05416	Viral myocarditis	Human Diseases|Cardiovascular disease|Viral myocarditis
map04930	Type II diabetes mellitus	Human Diseases|Endocrine and metabolic disease|Type II diabetes mellitus
map04940	Type I diabetes mellitus	Human Diseases|Endocrine and metabolic disease|Type I diabetes mellitus
map04950	Maturity onset diabetes of the young	Human Diseases|Endocrine and metabolic disease|Maturity onset diabetes of the young
map04932	Non-alcoholic fatty liver disease	Human Diseases|Endocrine and metabolic disease|Non-alcoholic fatty liver disease
map04931	Insulin resistance	Human Diseases|Endocrine and metabolic disease|Insulin resistance
map04933	AGE-RAGE signaling pathway in diabetic complications	Human Diseases|Endocrine and metabolic disease|AGE-RAGE signaling pathway in diabetic complications
map04934	Cushing syndrome	Human Diseases|Endocrine and metabolic disease|Cushing syndrome
map01501	beta-Lactam resistance	Human Diseases|Drug resistance: antimicrobial|beta-Lactam resistance
map01502	Vancomycin resistance	Human Diseases|Drug resistance: antimicrobial|Vancomycin resistance
map01503	Cationic antimicrobial peptide (CAMP) resistance	Human Diseases|Drug resistance: antimicrobial|Cationic antimicrobial peptide (CAMP) resistance
map01521	EGFR tyrosine kinase inhibitor resistance	Human Diseases|Drug resistance: antineoplastic|EGFR tyrosine kinase inhibitor resistance
map01524	Platinum drug resistance	Human Diseases|Drug resistance: antineoplastic|Platinum drug resistance
map01523	Antifolate resistance	Human Diseases|Drug resistance: antineoplastic|Antifolate resistance
map01522	Endocrine resistance	Human Diseases|Drug resistance: antineoplastic|Endocrine resistance
map07011	Penicillins	Drug Development|Chronology: Antiinfectives|Penicillins
map07012	Cephalosporins - parenteral agents	Drug Development|Chronology: Antiinfectives|Cephalosporins - parenteral agents
map07013	Cephalosporins - oral agents	Drug Development|Chronology: Antiinfectives|Cephalosporins - oral agents
map07021	Aminoglycosides	Drug Development|Chronology: Antiinfectives|Aminoglycosides
map07019	Tetracyclines	Drug Development|Chronology: Antiinfectives|Tetracyclines
map07020	Macrolides and ketolides	Drug Development|Chronology: Antiinfectives|Macrolides and ketolides
map07014	Quinolones	Drug Development|Chronology: Antiinfectives|Quinolones
map07023	Rifamycins	Drug Development|Chronology: Antiinfectives|Rifamycins
map07026	Antifungal agents	Drug Development|Chronology: Antiinfectives|Antifungal agents
map07044	Antiviral agents	Drug Development|Chronology: Antiinfectives|Antiviral agents
map07053	Anti-HIV agents	Drug Development|Chronology: Antiinfectives|Anti-HIV agents
map07040	Antineoplastics - alkylating agents	Drug Development|Chronology: Antineoplastics|Antineoplastics - alkylating agents
map07041	Antineoplastics - antimetabolic agents	Drug Development|Chronology: Antineoplastics|Antineoplastics - antimetabolic agents
map07042	Antineoplastics - agents from natural products	Drug Development|Chronology: Antineoplastics|Antineoplastics - agents from natural products
map07043	Antineoplastics - hormones	Drug Development|Chronology: Antineoplastics|Antineoplastics - hormones
map07045	Antineoplastics - protein kinase inhibitors	Drug Development|Chronology: Antineoplastics|Antineoplastics - protein kinase inhibitors
map07032	Hypnotics	Drug Development|Chronology: Nervous system agents|Hypnotics
map07030	Anxiolytics	Drug Development|Chronology: Nervous system agents|Anxiolytics
map07033	Anticonvulsants	Drug Development|Chronology: Nervous system agents|Anticonvulsants
map07015	Local analgesics	Drug Development|Chronology: Nervous system agents|Local analgesics
map07039	Opioid analgesics	Drug Development|Chronology: Nervous system agents|Opioid analgesics
map07028	Antipsychotics	Drug Development|Chronology: Nervous system agents|Antipsychotics
map07029	Antipsychotics - phenothiazines	Drug Development|Chronology: Nervous system agents|Antipsychotics - phenothiazines
map07031	Antipsychotics - butyrophenones	Drug Development|Chronology: Nervous system agents|Antipsychotics - butyrophenones
map07027	Antidepressants	Drug Development|Chronology: Nervous system agents|Antidepressants
map07056	Agents for Alzheimer-type dementia	Drug Development|Chronology: Nervous system agents|Agents for Alzheimer-type dementia
map07057	Antiparkinsonian agents	Drug Development|Chronology: Nervous system agents|Antiparkinsonian agents
map07055	Sulfonamide derivatives - overview	Drug Development|Chronology: Other drugs|Sulfonamide derivatives - overview
map07016	Sulfonamide derivatives - sulfa drugs	Drug Development|Chronology: Other drugs|Sulfonamide derivatives - sulfa drugs
map07017	Sulfonamide derivatives - diuretics	Drug Development|Chronology: Other drugs|Sulfonamide derivatives - diuretics
map07018	Sulfonamide derivatives - hypoglycemic agents	Drug Development|Chronology: Other drugs|Sulfonamide derivatives - hypoglycemic agents
map07037	Antiarrhythmic drugs	Drug Development|Chronology: Other drugs|Antiarrhythmic drugs
map07038	Antiulcer drugs	Drug Development|Chronology: Other drugs|Antiulcer drugs
map07046	Immunosuppressive agents	Drug Development|Chronology: Other drugs|Immunosuppressive agents
map07047	Osteoporosis drugs	Drug Development|Chronology: Other drugs|Osteoporosis drugs
map07048	Antimigraines	Drug Development|Chronology: Other drugs|Antimigraines
map07049	Antithrombosis agents	Drug Development|Chronology: Other drugs|Antithrombosis agents
map07050	Antirheumatics - DMARDs and biological agents	Drug Development|Chronology: Other drugs|Antirheumatics - DMARDs and biological agents
map07051	Antidiabetics	Drug Development|Chronology: Other drugs|Antidiabetics
map07052	Antidyslipidemic agents	Drug Development|Chronology: Other drugs|Antidyslipidemic agents
map07054	Antiglaucoma agents	Drug Development|Chronology: Other drugs|Antiglaucoma agents
map07220	Cholinergic and anticholinergic drugs	Drug Development|Target-based classification: G protein-coupled receptors|Cholinergic and anticholinergic drugs
map07215	alpha-Adrenergic receptor agonists/antagonists	Drug Development|Target-based classification: G protein-coupled receptors|alpha-Adrenergic receptor agonists/antagonists
map07214	beta-Adrenergic receptor agonists/antagonists	Drug Development|Target-based classification: G protein-coupled receptors|beta-Adrenergic receptor agonists/antagonists
map07213	Dopamine receptor agonists/antagonists	Drug Development|Target-based classification: G protein-coupled receptors|Dopamine receptor agonists/antagonists
map07212	Histamine H1 receptor antagonists	Drug Development|Target-based classification: G protein-coupled receptors|Histamine H1 receptor antagonists
map07227	Histamine H2/H3 receptor agonists/antagonists	Drug Development|Target-based classification: G protein-coupled receptors|Histamine H2/H3 receptor agonists/antagonists
map07211	Serotonin receptor agonists/antagonists	Drug Development|Target-based classification: G protein-coupled receptors|Serotonin receptor agonists/antagonists
map07228	Eicosanoid receptor agonists/antagonists	Drug Development|Target-based classification: G protein-coupled receptors|Eicosanoid receptor agonists/antagonists
map07224	Opioid receptor agonists/antagonists	Drug Development|Target-based classification: G protein-coupled receptors|Opioid receptor agonists/antagonists
map07229	Angiotensin receptor and endothelin receptor antagonists	Drug Development|Target-based classification: G protein-coupled receptors|Angiotensin receptor and endothelin receptor antagonists
map07225	Glucocorticoid and mineralocorticoid receptor agonists/antagonists	Drug Development|Target-based classification: Nuclear receptors|Glucocorticoid and mineralocorticoid receptor agonists/antagonists
map07226	Progesterone, androgen and estrogen receptor agonists/antagonists	Drug Development|Target-based classification: Nuclear receptors|Progesterone, androgen and estrogen receptor agonists/antagonists
map07223	Retinoic acid receptor (RAR) and retinoid X receptor (RXR) agonists/antagonists	Drug Development|Target-based classification: Nuclear receptors|Retinoic acid receptor (RAR) and retinoid X receptor (RXR) agonists/antagonists
map07222	Peroxisome proliferator-activated receptor (PPAR) agonists	Drug Development|Target-based classification: Nuclear receptors|Peroxisome proliferator-activated receptor (PPAR) agonists
map07221	Nicotinic cholinergic receptor antagonists	Drug Development|Target-based classification: Ion channels|Nicotinic cholinergic receptor antagonists
map07230	GABA-A receptor agonists/antagonists	Drug Development|Target-based classification: Ion channels|GABA-A receptor agonists/antagonists
map07036	Calcium channel blocking drugs	Drug Development|Target-based classification: Ion channels|Calcium channel blocking drugs
map07231	Sodium channel blocking drugs	Drug Development|Target-based classification: Ion channels|Sodium channel blocking drugs
map07232	Potassium channel blocking and opening drugs	Drug Development|Target-based classification: Ion channels|Potassium channel blocking and opening drugs
map07235	N-Methyl-D-aspartic acid (NMDA) receptor antagonists	Drug Development|Target-based classification: Ion channels|N-Methyl-D-aspartic acid (NMDA) receptor antagonists
map07233	Ion transporter inhibitors	Drug Development|Target-based classification: Transporters|Ion transporter inhibitors
map07234	Neurotransmitter transporter inhibitors	Drug Development|Target-based classification: Transporters|Neurotransmitter transporter inhibitors
map07216	Catecholamine transferase inhibitors	Drug Development|Target-based classification: Enzymes|Catecholamine transferase inhibitors
map07219	Cyclooxygenase inhibitors	Drug Development|Target-based classification: Enzymes|Cyclooxygenase inhibitors
map07024	HMG-CoA reductase inhibitors	Drug Development|Target-based classification: Enzymes|HMG-CoA reductase inhibitors
map07217	Renin-angiotensin system inhibitors	Drug Development|Target-based classification: Enzymes|Renin-angiotensin system inhibitors
map07218	HIV protease inhibitors	Drug Development|Target-based classification: Enzymes|HIV protease inhibitors
map07025	Quinolines	Drug Development|Structure-based classification|Quinolines
map07034	Eicosanoids	Drug Development|Structure-based classification|Eicosanoids
map07035	Prostaglandins	Drug Development|Structure-based classification|Prostaglandins
map07110	Benzoic acid family	Drug Development|Skeleton-based classification|Benzoic acid family
map07112	1,2-Diphenyl substitution family	Drug Development|Skeleton-based classification|1,2-Diphenyl substitution family
map07114	Naphthalene family	Drug Development|Skeleton-based classification|Naphthalene family
map07117	Benzodiazepine family	Drug Development|Skeleton-based classification|Benzodiazepine family
